Medicine,Brand,Product
Acitrom 2mg Tab,Abbott,Tablet
Acitrom 3mg Tab,Abbott,Tablet
AB-flo 100 mg Tab,Lupin,Tablet
Aldactone 25mg Tab,Laborate,Tablet
Allercet pedtabs 5mg,micro labs,Tablet
Amlong 10mg,micro labs,Tablet
Amlokind 5mg Tab,Mankind,Tablet
Amlokind 10mg Tab,Mankind,Tablet
Anxit 0.25mg Tab,micro labs,Tablet
Anxit 0.5mg Tab,micro labs,Tablet
Zyloric 100mg Tab,GSK,Tablet
Avil 25mg Tab,Sanofi,Tablet
Avil 50mg Tab,Sanofi,Tablet
Azoran 50mg Tab,Laborate,Tablet
Azithral 250mg,Alembic,Tablet
Azithral 500mg,Alembic,Tablet
Augmentin 375mg Tab,GSK,Tablet
Augmentin 625mg Tab,GSK,Tablet
Bandy plus,Mankind,Tablet
Bacfon-10,icon,Tablet
B-Long,Torcent pharma,Tablet
Bilasure M,Capital pharma,Tablet
Brufen 400mg,Abbott,Tablet
Banocide Forte,GSK,Tablet
Candid v6,Glenmark,Tablet
Cardigrel AS 75,HBC,Tablet
Cardirose cold 10,clopidogrel",HBC
Cardirose cold 20,clopidogrel&",HBC
Capivit-forte,Beda cartone,"
Capi-Q forte,Astaxanthin,"
Centrum,calcium,vitamin D3
Clicin 150,Indi pharma,Tablet
Lumia 60K,Sun pharma,Tablet
Carvidon-OD,micro labs,Tablet
Carvil 3.125,Zydus,Tablet
Carloc 6.25,Cipla,Tablet
Cerom-250,Ciplal,Tablet
Cerom-500,Abbott,Tablet
Cetcip 10mg,Cipla,Tablet
Limcel,Abbott,Tablet
Ciplox,Cipla,Tablet
Concor-cor 2.5,Merck,Tablet
Chymoral forte,Torrent pharma,Tablet
Daflon 500mg,Servier,Tablet
Dapagold V5,HBC,Tablet
Deriphyllin,Zydus,Tablet
D3 must 2k,mankind,Tablet
Dolonex  DT,Pfizer,Tablet
Dox7-SL,Dr.Redyy's,Tablet
Doxebet JR,BSV,Tablet
Digene,Abbott,Tablet
Dizzivert 16mg,Herodix,Tablet
Digoxino 25mg,GSK,Tablet
Drotikind-M,mankind,Tablet
Dupbaston 10mg,Abbott,Tablet
Dulcoflex 5mg,Sanofi,Tablet
Dytor 5mg,Cipla,Tablet
Dytor 10mg,Cipla,Tablet
Ecosprin-75,USV private limited,Tablet
Envas,Cardila,Tablet
Eptus-25,Glenmark,Tablet
Essentiale-L1g,Abbott,Tablet
Etova-400,Ipca Laboratories,Tablet
Evion-200mg,procter&Gamble Health,Tablet
Embeta XR-25,INTAS,Tablet
Febustat 20mg,Abbott,Tablet
Febustat 40mg,Abbott,Tablet
Fericap-XT,Capital pharma,Tablet
Flave Don,Servier,Tablet
Frisium 10mg,Sanofi,Tablet
Farobact 200,Cipla,Tablet
Forecox,Isoniazid",Macleods pharma
Freshlac,Capital pharma,Tablet
Fertisure M,Sun pharma,Tablet
Genvol,Candia pharma,Tablet
Gramogyl,Ranbaxy,Tablet
High caro,Sangrose,Tablet
Hical-M,Vitamin D3,"
Head set,Lupin,Tablet
Hairry Shine,Calcium,Pantothenate
Isordil-5mg,Ipca,Tablet
Isordil-10mg,Ipca,Tablet
Ivepred 16,Sun pharma,Tablet
Junior Lanzol15mg,Cipla,Tablet
Ketoflam-P,Lupin,Tablet
Kimet XL 25mg,Zuventus,Tablet
Kimet XL 50MG,,
Librium 10mg,Abbott,Tablet
Losakind 25mg,mankind,Tablet
Losakind 50mg,mankind,Tablet
Loparet 2mg,Retort Laboratories,Tablet
Agricare Plus Sachet,mmc,Tablet
Librax 5mg+2.5mg,Abbott,Tablet
Levoflox 500mg,cipla,Tablet
Lefno 10mg,ipca,Tablet
Lupin's Lupivon 20mg,Lupin,Tablet
Medineuron,mmc pharma,Tablet
metrogyl,J.B.chemicals& Pharma,Tablet
Proloment XL 25,Sun pharma,Tablet
Metolar-50mg,Cipla,Tablet
Prolomet XL 12.5mg,Sun pharma,Tablet
Meprate,Maneesh pharma,Tablet
Medineuron BT plus,",
Mexate 7.5mg,Zydus,Tablet
Miso-Kare,DKT,Tablet
Mirago 25mg,Sun pharma,Tablet
Mymi forte,HBC,Tablet
Myospaz forte,Dicofenac",win-medicine
Mymi max,HBC,Tablet
Montek,Sun pharma,Tablet
Meftal,Blue cross,Tablet
Novamox-250mg,Cipla,Tablet
Sachet Novefos,SRS,Tablet
Nofrosave,Fourrts,Tablet
Nodosis,Steadfast,Tablet
Norlut-N,Zydus,Tablet
Nicardia retard 20mg,J.B chemicals,Tablet
Nuforce-150mg,mankind,Tablet
Nucoxia,Zydus,Tablet
Tab.Nikoran-5,Torrent pharma,Tablet
Olcure 20mg,HBC,Tablet
Olcure H20,HBC,Tablet
Olcure Trio20,chlorthalidone&",HBC
Olcure AM20,,
Omez-D+,Dr.Reddy's,Tablet
Pan 40,Alkam,Tablet
Pan 20,Alkam,Tablet
P.500,apex,Tablet
P.650,micro labs,Tablet
practin 4mg,Dr.Reddy's,Tablet
Prothiaden 25,Abbott,Tablet
