,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUG WISE STOCK REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17-Jan-2026 23:59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Name,,,,,,,1 ML SYRINGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sl.No.,,Drug Name,,,,,,,Batch,,Exp. Date,,,Pur Qty,,SaleQty,,,R Qty,,SRQty,,,IndQty,,,Stock_Qty,,,Rate,,MRP,,,Packing,,VAT,,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1 ML SYRINGE,,,,,,436012G,,,31-08-2029  00:00:00 ,,,100,,92,,,0,,0,,,0,,,8,,,4.03,,11.00,,,1,,12.00,32.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1 ML SYRINGE,,,,,,535012G,,,31-07-2030  00:00:00 ,,,100,,60,,,0,,0,,,0,,,40,,,3.81,,12.10,,,10,,12.00,15.24,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Name,,,,,,,10 ML SYRINGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sl.No.,,Drug Name,,,,,,,Batch,,Exp. Date,,,Pur Qty,,SaleQty,,,R Qty,,SRQty,,,IndQty,,,Stock_Qty,,,Rate,,MRP,,,Packing,,VAT,,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
